id,query,category,expected_primary_agent,expected_escalation,expected_ticket_created,target_account_id,target_entity_id,expected_answer_keywords,expected_answer_summary,evaluation_focus
20,What is the seat utilization and plan tier for account 384a6d47-f5aa-4eee-86fa-49c2454b5b5c?,crm,crm,False,0,384a6d47-f5aa-4eee-86fa-49c2454b5b5c,,"Business, 88",Plan Tier is Business with 88 allocated seats.,answer_accuracy
21,What is the latest invoice amount and status for account 8c1d9bef-0ab1-4233-a643-0a32d8fb95d4?,billing,billing,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,b2875b90-eefb-49df-a376-faf7d85d0169,"59, Pending",Latest invoice b2875b90-eefb-49df-a376-faf7d85d0169 has amount $59 with status Pending.,routing_and_answer_accuracy
22,What is the latest invoice amount and status for account 46bee804-34a6-40f3-93a7-61df3c67db3f?,billing,billing,False,0,46bee804-34a6-40f3-93a7-61df3c67db3f,98a6cb31-dca4-4a66-acaf-e4fb6e5f2cad,"108, Overdue",Latest invoice 98a6cb31-dca4-4a66-acaf-e4fb6e5f2cad has amount $108 with status Overdue.,routing_and_answer_accuracy
23,What is the latest invoice amount and status for account 51fc306a-24e1-415b-aad7-508f97d414cb?,billing,billing,False,0,51fc306a-24e1-415b-aad7-508f97d414cb,0af1dfc8-ea04-41f0-97dd-b5254ef40f21,"175, Pending",Latest invoice 0af1dfc8-ea04-41f0-97dd-b5254ef40f21 has amount $175 with status Pending.,routing_and_answer_accuracy
24,What is the latest invoice amount and status for account e732ab2c-0ce1-4418-8a04-185d7c6763c0?,billing,billing,False,0,e732ab2c-0ce1-4418-8a04-185d7c6763c0,0213c398-6a4f-4ff9-a518-aa4e53a79785,"79, Pending",Latest invoice 0213c398-6a4f-4ff9-a518-aa4e53a79785 has amount $79 with status Pending.,routing_and_answer_accuracy
25,What is the latest invoice amount and status for account e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4?,billing,billing,False,0,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,eac05d1a-9f19-411e-9167-4621fbf3f7c6,"150, Pending",Latest invoice eac05d1a-9f19-411e-9167-4621fbf3f7c6 has amount $150 with status Pending.,routing_and_answer_accuracy
26,What is the latest invoice amount and status for account 4a319096-c350-4642-8635-bb8a194ea3aa?,billing,billing,False,0,4a319096-c350-4642-8635-bb8a194ea3aa,381e8089-504d-4afb-bddb-f8be6251bd9e,"347, Overdue",Latest invoice 381e8089-504d-4afb-bddb-f8be6251bd9e has amount $347 with status Overdue.,routing_and_answer_accuracy
27,Show all overdue invoices and outstanding balances for account cf9e5c86-0e01-425d-81a5-5d60f2bff1de,billing,billing,False,0,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,,"Overdue, cf9e5c86-0e01-425d-81a5-5d60f2bff1de",Found 4 overdue invoices totaling $1340.0.,answer_accuracy
28,Show all overdue invoices and outstanding balances for account f1354fc3-75ef-443e-b820-8083940c4856,billing,billing,False,0,f1354fc3-75ef-443e-b820-8083940c4856,,"Overdue, f1354fc3-75ef-443e-b820-8083940c4856",Found 5 overdue invoices totaling $1766.0.,answer_accuracy
29,Show all overdue invoices and outstanding balances for account e6e2af16-0440-43b2-ae02-50f9247726d3,billing,billing,False,0,e6e2af16-0440-43b2-ae02-50f9247726d3,,"Overdue, e6e2af16-0440-43b2-ae02-50f9247726d3",Found 4 overdue invoices totaling $706.0.,answer_accuracy
30,Show all overdue invoices and outstanding balances for account 10853b5f-d44a-473b-aacd-cce5a9440729,billing,billing,False,0,10853b5f-d44a-473b-aacd-cce5a9440729,,"0, 10853b5f-d44a-473b-aacd-cce5a9440729",Found 0 overdue invoices totaling $0.,answer_accuracy
31,Show all overdue invoices and outstanding balances for account 0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,billing,billing,False,0,0ed5b12a-9f77-48e6-be6e-46dbb72d7e71,,"Overdue, 0ed5b12a-9f77-48e6-be6e-46dbb72d7e71",Found 3 overdue invoices totaling $435.0.,answer_accuracy
32,Show all overdue invoices and outstanding balances for account a899bc30-3d58-4941-9b92-c5e40584d04a,billing,billing,False,0,a899bc30-3d58-4941-9b92-c5e40584d04a,,"Overdue, a899bc30-3d58-4941-9b92-c5e40584d04a",Found 4 overdue invoices totaling $638.0.,answer_accuracy
33,Can you explain the charge and details for invoice ID b2875b90-eefb-49df-a376-faf7d85d0169?,billing,billing,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,b2875b90-eefb-49df-a376-faf7d85d0169,"b2875b90-eefb-49df-a376-faf7d85d0169, 59, Pending",Invoice b2875b90-eefb-49df-a376-faf7d85d0169 was issued for period 2026-06 with amount $59 and status Pending.,answer_accuracy
34,Can you explain the charge and details for invoice ID 46f13ef1-ecab-41b7-97ab-7b0406ee16f4?,billing,billing,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,46f13ef1-ecab-41b7-97ab-7b0406ee16f4,"46f13ef1-ecab-41b7-97ab-7b0406ee16f4, 104, Overdue",Invoice 46f13ef1-ecab-41b7-97ab-7b0406ee16f4 was issued for period 2026-05 with amount $104 and status Overdue.,answer_accuracy
35,Can you explain the charge and details for invoice ID eb922465-5e89-485f-9406-13f32f379b93?,billing,billing,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,eb922465-5e89-485f-9406-13f32f379b93,"eb922465-5e89-485f-9406-13f32f379b93, 116, Pending",Invoice eb922465-5e89-485f-9406-13f32f379b93 was issued for period 2026-04 with amount $116 and status Pending.,answer_accuracy
36,Can you explain the charge and details for invoice ID ed6c8399-c67e-4778-acd1-c4ad9860bddd?,billing,billing,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,ed6c8399-c67e-4778-acd1-c4ad9860bddd,"ed6c8399-c67e-4778-acd1-c4ad9860bddd, 149, Paid",Invoice ed6c8399-c67e-4778-acd1-c4ad9860bddd was issued for period 2026-03 with amount $149 and status Paid.,answer_accuracy
37,Calculate the total lifetime spend across all invoices for account 80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,billing,billing,False,0,80e7ea84-3605-4cb4-ac12-ff5128f5d4d0,,"1584.0, 80e7ea84-3605-4cb4-ac12-ff5128f5d4d0",Total lifetime spend across 12 invoices is $1584.0.,answer_accuracy
38,Calculate the total lifetime spend across all invoices for account 8c215458-8db5-47a8-a00f-613c6f9ace6b,billing,billing,False,0,8c215458-8db5-47a8-a00f-613c6f9ace6b,,"1105.0, 8c215458-8db5-47a8-a00f-613c6f9ace6b",Total lifetime spend across 12 invoices is $1105.0.,answer_accuracy
39,Calculate the total lifetime spend across all invoices for account 2894e589-8178-4d92-9443-433f2184c5c1,billing,billing,False,0,2894e589-8178-4d92-9443-433f2184c5c1,,"2045.0, 2894e589-8178-4d92-9443-433f2184c5c1",Total lifetime spend across 12 invoices is $2045.0.,answer_accuracy
40,Calculate the total lifetime spend across all invoices for account cc43fe32-4e44-4c6d-b597-59f8de20f461,billing,billing,False,0,cc43fe32-4e44-4c6d-b597-59f8de20f461,,"2038.0, cc43fe32-4e44-4c6d-b597-59f8de20f461",Total lifetime spend across 12 invoices is $2038.0.,answer_accuracy
41,How many open support tickets exist for account 8c1d9bef-0ab1-4233-a643-0a32d8fb95d4?,ticket,ticket,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,,"2, 8c1d9bef-0ab1-4233-a643-0a32d8fb95d4",Account 8c1d9bef-0ab1-4233-a643-0a32d8fb95d4 currently has 2 open support tickets out of 7 total tickets.,routing_and_answer_accuracy
42,How many open support tickets exist for account 46bee804-34a6-40f3-93a7-61df3c67db3f?,ticket,ticket,False,0,46bee804-34a6-40f3-93a7-61df3c67db3f,,"2, 46bee804-34a6-40f3-93a7-61df3c67db3f",Account 46bee804-34a6-40f3-93a7-61df3c67db3f currently has 2 open support tickets out of 7 total tickets.,routing_and_answer_accuracy
43,How many open support tickets exist for account 51fc306a-24e1-415b-aad7-508f97d414cb?,ticket,ticket,False,0,51fc306a-24e1-415b-aad7-508f97d414cb,,"1, 51fc306a-24e1-415b-aad7-508f97d414cb",Account 51fc306a-24e1-415b-aad7-508f97d414cb currently has 1 open support tickets out of 9 total tickets.,routing_and_answer_accuracy
44,How many open support tickets exist for account e732ab2c-0ce1-4418-8a04-185d7c6763c0?,ticket,ticket,False,0,e732ab2c-0ce1-4418-8a04-185d7c6763c0,,"1, e732ab2c-0ce1-4418-8a04-185d7c6763c0",Account e732ab2c-0ce1-4418-8a04-185d7c6763c0 currently has 1 open support tickets out of 7 total tickets.,routing_and_answer_accuracy
45,How many open support tickets exist for account e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4?,ticket,ticket,False,0,e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4,,"2, e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4",Account e4c1fb6a-f3d3-400a-8a49-1a6b70f222a4 currently has 2 open support tickets out of 6 total tickets.,routing_and_answer_accuracy
46,"Check the status, subject, and priority of ticket ID f4996a7b-e9f3-483d-840c-f1e42d293c20",ticket,ticket,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,f4996a7b-e9f3-483d-840c-f1e42d293c20,"f4996a7b-e9f3-483d-840c-f1e42d293c20, Open, High","Ticket f4996a7b-e9f3-483d-840c-f1e42d293c20 Subject: 'Refund Request', Status: Open, Priority: High.",answer_accuracy
47,"Check the status, subject, and priority of ticket ID 373022dc-6754-4823-8b89-1eb5143d2b79",ticket,ticket,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,373022dc-6754-4823-8b89-1eb5143d2b79,"373022dc-6754-4823-8b89-1eb5143d2b79, Resolved, Critical","Ticket 373022dc-6754-4823-8b89-1eb5143d2b79 Subject: 'Add Team Members', Status: Resolved, Priority: Critical.",answer_accuracy
48,"Check the status, subject, and priority of ticket ID f9c6498e-558d-45fd-924b-9e3cec19ac02",ticket,ticket,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,f9c6498e-558d-45fd-924b-9e3cec19ac02,"f9c6498e-558d-45fd-924b-9e3cec19ac02, Open, Low","Ticket f9c6498e-558d-45fd-924b-9e3cec19ac02 Subject: 'Invoice Dispute', Status: Open, Priority: Low.",answer_accuracy
49,"Check the status, subject, and priority of ticket ID 070c5821-d209-453c-bde8-58110fe5276b",ticket,ticket,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,070c5821-d209-453c-bde8-58110fe5276b,"070c5821-d209-453c-bde8-58110fe5276b, In Progress, Low","Ticket 070c5821-d209-453c-bde8-58110fe5276b Subject: 'API Error', Status: In Progress, Priority: Low.",answer_accuracy
50,"Check the status, subject, and priority of ticket ID e0b872bf-3da4-456f-85f2-5a662c04d40f",ticket,ticket,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,e0b872bf-3da4-456f-85f2-5a662c04d40f,"e0b872bf-3da4-456f-85f2-5a662c04d40f, In Progress, Critical","Ticket e0b872bf-3da4-456f-85f2-5a662c04d40f Subject: 'Unexpected Charge', Status: In Progress, Priority: Critical.",answer_accuracy
51,Provide a summary of recent support history and resolved tickets for account 4a319096-c350-4642-8635-bb8a194ea3aa,ticket,ticket,False,0,4a319096-c350-4642-8635-bb8a194ea3aa,,"4a319096-c350-4642-8635-bb8a194ea3aa, ticket",Found 10 support records (1 resolved).,answer_accuracy
52,Provide a summary of recent support history and resolved tickets for account cf9e5c86-0e01-425d-81a5-5d60f2bff1de,ticket,ticket,False,0,cf9e5c86-0e01-425d-81a5-5d60f2bff1de,,"cf9e5c86-0e01-425d-81a5-5d60f2bff1de, ticket",Found 9 support records (1 resolved).,answer_accuracy
53,Provide a summary of recent support history and resolved tickets for account f1354fc3-75ef-443e-b820-8083940c4856,ticket,ticket,False,0,f1354fc3-75ef-443e-b820-8083940c4856,,"f1354fc3-75ef-443e-b820-8083940c4856, ticket",Found 6 support records (1 resolved).,answer_accuracy
54,Provide a summary of recent support history and resolved tickets for account e6e2af16-0440-43b2-ae02-50f9247726d3,ticket,ticket,False,0,e6e2af16-0440-43b2-ae02-50f9247726d3,,"e6e2af16-0440-43b2-ae02-50f9247726d3, ticket",Found 10 support records (1 resolved).,answer_accuracy
55,Provide a summary of recent support history and resolved tickets for account 10853b5f-d44a-473b-aacd-cce5a9440729,ticket,ticket,False,0,10853b5f-d44a-473b-aacd-cce5a9440729,,"10853b5f-d44a-473b-aacd-cce5a9440729, ticket",Found 9 support records (3 resolved).,answer_accuracy
56,What is the standard refund policy window for SaaS subscriptions?,knowledge,knowledge,False,0,,,"14, days, refund",Standard refund requests must be made within 14 days of invoice payment.,routing_and_answer_accuracy
57,How do I cancel my subscription plan?,knowledge,knowledge,False,0,,,"Settings, Billing, Cancel",Navigate to Workspace Settings > Billing and select Cancel Plan. Effective at period end.,routing_and_answer_accuracy
58,What are the guaranteed SLA response times for Critical priority tickets?,knowledge,knowledge,False,0,,,"1 hour, Critical, SLA",Critical priority tickets receive 1-hour first response SLA with 24/7 coverage.,routing_and_answer_accuracy
59,What payment methods are supported on the platform?,knowledge,knowledge,False,0,,,"credit card, Stripe, wire, payment","We support major Credit Cards (Visa, MasterCard, Amex) and automated ACH/wire payments.",routing_and_answer_accuracy
60,How can an administrator add additional seats or invite new team members?,knowledge,knowledge,False,0,,,"Admin, Invite, Seats",Admins can invite users via Organization Settings > Team Members.,routing_and_answer_accuracy
61,What happens to my workspace data when a subscription is cancelled?,knowledge,knowledge,False,0,,,"30 days, data retention, export","Data is preserved for 30 days post-cancellation, during which full export is supported.",routing_and_answer_accuracy
62,What is the difference between Starter and Growth plan tiers?,knowledge,knowledge,False,0,,,"Starter, Growth, seats, features",Starter supports up to 5 seats with core tooling; Growth supports expanded seats and dedicated SLA.,routing_and_answer_accuracy
63,Where can I find and download past invoice PDF receipts?,knowledge,knowledge,False,0,,,"Billing, Invoices, download",Invoices are available for download in the Customer Portal under Billing > Invoices.,routing_and_answer_accuracy
64,Is multi-factor authentication (MFA) supported for enterprise accounts?,knowledge,knowledge,False,0,,,"MFA, security, two-factor","Yes, two-factor authentication (2FA/MFA) is supported across all plan tiers.",routing_and_answer_accuracy
65,How do I change my primary account owner or billing contact email?,knowledge,knowledge,False,0,,,"Account, Owner, email",Primary owner transfer can be completed in Organization Settings by current Owner.,routing_and_answer_accuracy
66,What is the SLA response time for Medium and Low priority tickets?,knowledge,knowledge,False,0,,,"24 hours, business hours, Medium",Medium priority tickets have an 8-business-hour response SLA; Low priority is 24 hours.,routing_and_answer_accuracy
67,Can I pause my subscription instead of cancelling?,knowledge,knowledge,False,0,,,"pause, billing, subscription",Subscriptions can be paused for up to 3 months upon contacting support.,routing_and_answer_accuracy
68,What are the rate limits on API integrations?,knowledge,knowledge,False,0,,,"rate limit, requests, API",Standard API rate limit is 100 requests per minute per authenticated token.,routing_and_answer_accuracy
69,How do I upgrade from monthly to annual billing?,knowledge,knowledge,False,0,,,"annual, discount, Billing",Switch to Annual Billing in Billing Settings to receive a 20% discount on subscription fees.,routing_and_answer_accuracy
70,Are custom enterprise SLAs available for high-volume accounts?,knowledge,knowledge,False,0,,,"Enterprise, custom SLA, dedicated","Yes, custom Enterprise SLAs and dedicated account representatives are available for enterprise tier.",routing_and_answer_accuracy
71,Can I get a refund for invoice ed6c8399-c67e-4778-acd1-c4ad9860bddd of amount $149?,refund,refund,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,ed6c8399-c67e-4778-acd1-c4ad9860bddd,"eligible, refund, 14 days, ed6c8399-c67e-4778-acd1-c4ad9860bddd",Invoice ed6c8399-c67e-4778-acd1-c4ad9860bddd is in Paid status ($149) and is verified as eligible under the 14-day policy.,routing_and_answer_accuracy
72,Can I get a refund for invoice 09595bbd-6de9-4445-a38d-f0cb16bcb534 of amount $91?,refund,refund,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,09595bbd-6de9-4445-a38d-f0cb16bcb534,"eligible, refund, 14 days, 09595bbd-6de9-4445-a38d-f0cb16bcb534",Invoice 09595bbd-6de9-4445-a38d-f0cb16bcb534 is in Paid status ($91) and is verified as eligible under the 14-day policy.,routing_and_answer_accuracy
73,Can I get a refund for invoice b73cb1b3-ceb5-4235-93b4-edcb26923f7c of amount $225?,refund,refund,False,0,46bee804-34a6-40f3-93a7-61df3c67db3f,b73cb1b3-ceb5-4235-93b4-edcb26923f7c,"eligible, refund, 14 days, b73cb1b3-ceb5-4235-93b4-edcb26923f7c",Invoice b73cb1b3-ceb5-4235-93b4-edcb26923f7c is in Paid status ($225) and is verified as eligible under the 14-day policy.,routing_and_answer_accuracy
74,Can I get a refund for invoice b8914eda-b5d4-45bc-8bfd-802c52d6bb0e of amount $216?,refund,refund,False,0,46bee804-34a6-40f3-93a7-61df3c67db3f,b8914eda-b5d4-45bc-8bfd-802c52d6bb0e,"eligible, refund, 14 days, b8914eda-b5d4-45bc-8bfd-802c52d6bb0e",Invoice b8914eda-b5d4-45bc-8bfd-802c52d6bb0e is in Paid status ($216) and is verified as eligible under the 14-day policy.,routing_and_answer_accuracy
75,Can I get a refund for invoice 8e977f7d-d488-4f56-8602-a20f6d53e5d2 of amount $146?,refund,refund,False,0,51fc306a-24e1-415b-aad7-508f97d414cb,8e977f7d-d488-4f56-8602-a20f6d53e5d2,"eligible, refund, 14 days, 8e977f7d-d488-4f56-8602-a20f6d53e5d2",Invoice 8e977f7d-d488-4f56-8602-a20f6d53e5d2 is in Paid status ($146) and is verified as eligible under the 14-day policy.,routing_and_answer_accuracy
76,I want a refund on invoice b2875b90-eefb-49df-a376-faf7d85d0169,refund,refund,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,b2875b90-eefb-49df-a376-faf7d85d0169,"not eligible, b2875b90-eefb-49df-a376-faf7d85d0169",Invoice b2875b90-eefb-49df-a376-faf7d85d0169 has status 'Pending' and cannot be refunded as it has not been completed/paid.,answer_accuracy
77,I want a refund on invoice 46f13ef1-ecab-41b7-97ab-7b0406ee16f4,refund,refund,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,46f13ef1-ecab-41b7-97ab-7b0406ee16f4,"not eligible, 46f13ef1-ecab-41b7-97ab-7b0406ee16f4",Invoice 46f13ef1-ecab-41b7-97ab-7b0406ee16f4 has status 'Overdue' and cannot be refunded as it has not been completed/paid.,answer_accuracy
78,I want a refund on invoice eb922465-5e89-485f-9406-13f32f379b93,refund,refund,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,eb922465-5e89-485f-9406-13f32f379b93,"not eligible, eb922465-5e89-485f-9406-13f32f379b93",Invoice eb922465-5e89-485f-9406-13f32f379b93 has status 'Pending' and cannot be refunded as it has not been completed/paid.,answer_accuracy
79,I want a refund on invoice fc2178b4-ac47-475b-9456-4b9b7a9859d9,refund,refund,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,fc2178b4-ac47-475b-9456-4b9b7a9859d9,"not eligible, fc2178b4-ac47-475b-9456-4b9b7a9859d9",Invoice fc2178b4-ac47-475b-9456-4b9b7a9859d9 has status 'Pending' and cannot be refunded as it has not been completed/paid.,answer_accuracy
80,I want a refund on invoice f6ad31d6-a348-4077-abd3-158aa56862b1,refund,refund,False,0,8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,f6ad31d6-a348-4077-abd3-158aa56862b1,"not eligible, f6ad31d6-a348-4077-abd3-158aa56862b1",Invoice f6ad31d6-a348-4077-abd3-158aa56862b1 has status 'Overdue' and cannot be refunded as it has not been completed/paid.,answer_accuracy
81,My invoice is incorrect and I need someone to investigate.,escalation,escalation,True,1,,,"ticket, investigate, human, support",Escalation triggered for billing discrepancy investigation. 1 ticket created.,escalation_accuracy
82,I want to speak with a human support agent immediately.,escalation,escalation,True,1,,,"human, support executive, ticket",User explicitly requested human assistance. Escalated to L2 queue.,escalation_accuracy
83,Connect me to a supervisor or customer support executive.,escalation,escalation,True,1,,,"executive, supervisor, ticket",Supervisor request escalated to L2 management with ticket opened.,escalation_accuracy
84,There is an unauthorized double charge on my credit card that needs manual fraud review.,escalation,escalation,True,1,,,"fraud, charge, ticket, investigate",Payment dispute escalated for immediate manual review.,escalation_accuracy
85,Our production API integration is completely broken and we need urgent engineer assistance.,escalation,escalation,True,1,,,"urgent, ticket, escalated",Urgent production outage escalated to senior engineering support.,escalation_accuracy
86,I need an executive to review a custom SLA contract dispute for account 8c1d9bef-0ab1-4233-a643-0a32d8fb95d4,escalation,escalation,True,1,,,"contract, dispute, ticket",Contractual dispute escalated to customer success manager.,escalation_accuracy
87,Someone from your billing team needs to call me regarding incorrect charges.,escalation,escalation,True,1,,,"billing, investigate, ticket",Customer requested human billing follow-up. Ticket opened.,escalation_accuracy
88,I am disputing the charges on invoice 46f13ef1-ecab-41b7-97ab-7b0406ee16f4 and demand a supervisor.,escalation,escalation,True,1,,,"dispute, supervisor, ticket",Invoice dispute escalated with priority ticket.,escalation_accuracy
89,Escalate my case to tier-2 technical support right away.,escalation,escalation,True,1,,,"tier-2, escalated, ticket",Tier-2 escalation completed with handoff summary.,escalation_accuracy
90,"Our enterprise account has been blocked incorrectly, please escalate to human operations.",escalation,escalation,True,1,,,"blocked, escalated, ticket",Account block issue escalated to operations team.,escalation_accuracy
91,Hi,conversational,input_guard,False,0,,,"Hello, assist",Polite greeting returned with 0 tickets created.,ticket_suppression
92,Hello,conversational,input_guard,False,0,,,"Hello, assist",Polite greeting returned with 0 tickets created.,ticket_suppression
93,Thanks,conversational,input_guard,False,0,,,welcome,Courteous acknowledgment with 0 tickets created.,ticket_suppression
94,Okay,conversational,input_guard,False,0,,,"help, questions",Acknowledgment returned with 0 tickets created.,ticket_suppression
95,asdfgh,conversational,input_guard,False,0,,,"clarify, understand","Gibberish detected, clarifying prompt returned with 0 tickets created.",ticket_suppression
96,What can you do?,conversational,input_guard,False,0,,,"CRM, Billing, Tickets, Knowledge",Capabilities overview returned with 0 tickets created.,ticket_suppression
97,Good morning,conversational,input_guard,False,0,,,"Hello, assist",Greeting returned with 0 tickets created.,ticket_suppression
98,Thank you so much,conversational,input_guard,False,0,,,welcome,Gratitude acknowledgment with 0 tickets created.,ticket_suppression
